TestEvent,ID,"10 Minute - Write atleast a paragraph about people that you live with now or that you lived with in the past. This could be your family or roommates. What do they look like?  Describe their interests, jobs, schedules, and personalities.  What do you or did you like about living with these people?  You have 10 minutes to write your response.",30_minute - Identify one improvement that would make your city a better place to live for people your age and explain why people your age would benefit from this change.  Use specific reasons and examples to support your opinion and describe the potential immediate and long-term consequences of this improvement.  You have 30 minutes to write your response.,Scored
W17 LATs,16328,"I live in the Red Brick Mansion with five lovely roommats. They are all university students. Ellisa and Mandy study at UVU. They both both work in a waffle stores called 'Waffle love.' When the store need their employees, they will ask them to help cook waffles in wedding activity and family party. They both like to work out. As a result, they put the workout schedulde on the surface of the refrigurater. They invite the other roommates to come with them as well. However, the other roommates, Amilia, and I do not like exercise or outdoor activity. We only come when everyone is free the day as a roommates activity. Amilia is major in archit Amilia have similar interests with me in cooking, paiting, and watch movies. We spend a lot of time to hang out.","A small improvement can bring huge effects on the new the generation.  People in my age usually get a lower salary comparing with people  in my age 15 years ago. Many of them rather to work abroad than stay in Taiwan to work as much but get paid less. Some employers would believe that people in my age are not resiponsible enough to give us better salary; however, it's not true just because we are younger and grew up with better financial environment. Reasons for us to get paid higher are that we are creative on project and we are willing to work hard if the company can treat us equally. 
      First,  our generation is called the Millianer. People are connected with the world in their early age since they have computer and internet. The various information online facilitates them to update themselves faster. People accumulate new ideas from internet to make a better one. As a result, employers should not define us as 'a group of strawbettey,' which means that we cannot afford any stress from outside world. We have different trait, but the employers can make a good use of it.  
      Second, If our government can leigulrate labor right more appropriately, it will motivate us to work even harder. People who work hard should get paid double when they work overtime. Comparing to people from last generation  that they are very diligent, but they get paid more. In contrast, people in my age work hard why we can be paid less.  Moreover, we are more likely to be willing to work for the company for a long turn. 
       To sum up, people are not only working for salary, but also we are pursuing a better life. We are not lazy. In contrast , we are very creative and willing challenge different ideas to make the world a better one.  Our government should take serious consideration to save this genernation from going abroad to seek better salary, but create a better friendly environment for us to stay.  If the improvement can happen somedays, the world will be a better one.",5.04
W16 Placement,66948,"My descripcion is the mach intereses from estudents
theer tha people,","Im one improvement the city 
My opinin is the mach peolple ther is potential and talents.
My specific reasons is the have mach people celebrat",0.36
W16 Placement,32253,"My family in the Taiwan ,My vervy like my family",,0.36
W16 Placement,01835,"my father is hte best becaus my help ,ther is a pesonality wath there the he and is your persevens .tha people they have your  , how can you la peopletake tobe best","my city would change and survavio becaus in that  from is warning  and me to humillidy for the  people how the country wath evirythink 
so if country wath is must warning ,now is the best from fine ,and that' good I'm thank so. me too . I'm remenber were foot and not was water  there was wath to drink the more wath can for to have .",0.82
S17 Placement,46970,"introduce my family
i have a 5family mother, father, older sister and older brother.
they are live in south korea parents working and sister,brother students
my father look like me haha
my mom have a short hair white skin and beautyful smile
my sister very lovely and cute she's  age 28 years old
my bro look like a my mom","my city seoul in south korea seoul city very loud and not fresh air 
seoul is small city but live in many people
then i think all seoul city people bad infection
almost citizen inpress the stress maybe
middle school or high school students have not dream
they are nothing any dreams any future
i want to we are city have a many dreams and kindness",0.94
W16 Placement,92130,"estefany is my sister she is a very cool, she is a person ver happy and very inteligent , she study sports an she is very weel playing baketball
and my mothe ris ceila , she is my love she is a happy and very happy",,1
W16 Placement,93574,I living my rommnates. total 4 people living my appartmenats. 1proson is some contury she form south korea and 1people form U.S.A but I don't know  1 people. becaus she comed yesterday for night. maybe i will meet today. my family living in korea. my roommates all BYU studys.,I don't know.,1
W16 Placement,12086,"my names murat . when i lived provo this peplos to nice hairt 
i live sister and borother with 
my famaily fanny peples and my borother strong men my family history this 
and i,m mongolia men my plane byu university studdent and my hobby is pootbaal freestayle wrestling i like sport s 
am RM in mongolia call to serve","one impovement in my city in. my old mongola city many cold mybe 45 garadus limet this city peoples age 50 80 in 
we are not going to have cloroda in ore contry 
my peple all city naisag 
i like to the city. becuse tihs",1
W16 Placement,29188,"In the past, i lived  with my parents  in peru
they are so good
 my father works in army, he likes to cook 
my mother is so adorable , she works in the army too, she wants to travel here
they likes to live in lima
my father is calm but he have strong personality 
my mother is so sweet 
always i found new things with them 
their jobs  is not easy but is very well
my father loves to run all day and he is healthy
all the time, they eat healthy food  because their jobs
living with them is the best","people my age benefit from this chage because they have new opportunities  in this time 
 they live alone , they have responsability 
they understand because the age 
 they work and study  , they are trying to improve all the day
they have  new ideas, they have new goals 
they transmit  their strengthen 
they learn their weakness
they are trying to serve 
this city is very clean , estudents in this area have the divine potencial  for to be better
they like  the changes  
after the mission , i understand that my purpose here is be a good person
all the thing that i learn with my parents , i need to practice 
my brother changes  and dismiss all the bad things , and i can see  this changes  because the influence of his friends here
because him , i could travel in this month  
i needed  to see this change and i am so excited  because it 
i want to have new goals  for this city
all the students want to learn  all the time, and they want to do  new projects 
 they solve their own problems   
they need",1.02
W16 Placement,95109,Im from turkey. my frens in turkey byu student 5 lives in utah . he said byu very good school and you learn engilsh . he help me my byu for winter somertir . If I will be happy  agein contrac . i have benn 10 days in utah . i stay my frens . so good peaple .  I was very happy . but  I came apartman glanwood . I m luky becase  roommetes english  student byu . I think good gril .  There ara 3 rooms and one room in 2 person .  I want to job . i worked in turkey part time resturant hostes . I went to resturant . i met new frens  se said from grek . so nice,i think  for  good life  fist person and person respech . very biggit the world. Can we clean the world . My city  very fun becouse holiday city in mugla . so nice  i love it . oceon and mautum  and tress . very populery  my city peaple frendly. it need better work . .my city very long usa 11 hous airpilane  so  diffent foot . american food i think miks but turkis food just salt and just decert sweet . But i m  fine i like this dfirint kittchin . i think difirent culture in utah,1.02
